#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
7.537538     1.782372     1.335127     101998906.499291
7.552553     1.768036     1.346184     103048522.272405
7.567568     1.753457     1.352340     103725572.256596
7.582583     1.740462     1.354911     104128907.871406
7.597598     1.729821     1.355197     104357122.233936
7.612613     1.722295     1.354868     104538007.691235
7.627628     1.717071     1.356548     104874068.265074
7.642643     1.711021     1.361199     105440819.504507
7.657658     1.701645     1.366693     106074397.565823
7.672673     1.689129     1.370058     106544045.484564
7.687688     1.675524     1.369672     106722492.550694
7.702703     1.662945     1.365733     106623365.873505
7.717718     1.652692     1.359238     106323140.990592
7.732733     1.645347     1.351493     105923041.134629
7.747748     1.640799     1.343469     105498573.848370
7.762763     1.639327     1.335938     105110505.595487
7.777778     1.640535     1.330797     104908578.773575
7.792793     1.642103     1.328492     104929012.343307
7.807808     1.643816     1.327569     105058181.210314
7.822823     1.646341     1.329417     105406731.722456
7.837838     1.646742     1.335078     106058722.715813
7.852853     1.642978     1.341771     106794656.360990
7.867868     1.635893     1.347217     107433129.502455
7.882883     1.626739     1.350161     107873341.686503
7.897898     1.617468     1.350451     108102064.371378
7.912913     1.608755     1.349388     108222307.955154
7.927928     1.600088     1.347035     108238619.251222
7.942943     1.592199     1.343019     108120293.010622
7.957958     1.585708     1.338075     107925883.265249
7.972973     1.580552     1.332887     107710240.534071
7.987988     1.576128     1.328032     107520069.680909
8.003003     1.571369     1.322560     107278278.214282
8.018018     1.568022     1.314542     106828014.166969
8.033033     1.569468     1.305924     106326404.501949
8.048048     1.575077     1.301396     106155721.454201
8.063063     1.580172     1.302649     106456246.126253
8.078078     1.581313     1.306680     106984508.025568
8.093093     1.579108     1.310013     107456754.197860
8.108108     1.575597     1.311500     107778311.556451
8.123123     1.572268     1.311306     107961925.082613
8.138138     1.570373     1.310006     108054230.860307
8.153153     1.570763     1.309213     108188107.413998
8.168168     1.572720     1.310743     108514018.061877
8.183183     1.574815     1.315362     109096590.185229
8.198198     1.575732     1.323387     109963524.618949
8.213213     1.573543     1.334902     111123539.730066
8.228228     1.565808     1.348500     112460688.795171
8.243243     1.551049     1.360928     113704244.351666
8.258258     1.530425     1.367866     114492114.283981
8.273273     1.508216     1.367071     114633640.220950
8.288288     1.488189     1.359799     114230803.331185
8.303303     1.472181     1.348052     113449116.188404
8.318318     1.461313     1.333963     112466397.142345
8.333333     1.455839     1.319976     111488058.495524
8.348348     1.454863     1.308657     110731192.079329
8.363363     1.455977     1.301721     110342428.137846
8.378378     1.456342     1.299122     110319783.402688
8.393393     1.453763     1.299232     110526866.758937
8.408408     1.447605     1.299670     110761920.498279
8.423423     1.438456     1.298512     110860836.174057
8.438438     1.427549     1.294222     110691517.053046
8.453453     1.417213     1.286071     110190154.208728
8.468468     1.409684     1.275490     109477650.673840
8.483483     1.405060     1.264490     108725895.309449
8.498498     1.403034     1.253820     107999260.090434
8.513514     1.403678     1.244823     107413741.358133
8.528529     1.405508     1.239009     107100615.613548
8.543544     1.406421     1.236319     107056232.615478
8.558559     1.404838     1.235621     107183855.249209
8.573574     1.399998     1.234787     107299418.066929
8.588589     1.393424     1.231695     107218220.740243
8.603604     1.387221     1.226990     106995402.197216
8.618619     1.381108     1.221841     106732308.949131
8.633634     1.374784     1.215776     106387564.641398
8.648649     1.369003     1.208876     105967673.275703
8.663664     1.363582     1.202017     105549350.337102
8.678679     1.357546     1.195039     105118551.446078
8.693694     1.350689     1.186886     104581968.291591
8.708709     1.343725     1.176583     103853157.034706
8.723724     1.338264     1.163724     102895269.293609
8.738739     1.336236     1.149794     101838573.964658
8.753754     1.336996     1.137723     100942570.957984
8.768769     1.337623     1.127700     100224948.894293
8.783784     1.337651     1.117363     99476282.919308
8.798799     1.339126     1.106315     98661030.370812
8.813814     1.342613     1.096680     97968669.525594
8.828829     1.346085     1.089571     97499482.591702
8.843844     1.348020     1.083670     97136293.456480
8.858859     1.348784     1.077765     96771039.096958
8.873874     1.348679     1.071888     96406442.503556
8.888889     1.347001     1.065682     96010492.332233
8.903904     1.343720     1.057412     95426309.051348
8.918919     1.340787     1.045800     94537518.929890
8.933934     1.340440     1.031694     93419405.454039
8.948949     1.343368     1.016976     92241497.316736
8.963964     1.349136     1.002825     91110603.886705
8.978979     1.357612     0.989947     90091229.125133
8.993994     1.368369     0.979716     89309224.068383
9.009009     1.379558     0.972944     88839977.250458
9.024024     1.389672     0.968632     88593670.964305
9.039039     1.398745     0.965951     88495443.676284
9.054054     1.406242     0.965186     88572200.398901
9.069069     1.410346     0.965050     88706578.684068
9.084084     1.411926     0.962023     88574768.003838
9.099099     1.415348     0.955762     88143773.362424
9.114114     1.422427     0.950419     87795631.320810
9.129129     1.430058     0.949297     87836504.377887
9.144144     1.433829     0.951040     88142457.499090
9.159159     1.432914     0.951327     88313869.010959
9.174174     1.429919     0.947668     88118463.034618
9.189189     1.427297     0.940283     87574862.419142
9.204204     1.426011     0.929870     86746506.431091
9.219219     1.427148     0.916476     85636476.475781
9.234234     1.432369     0.901158     84342266.166349
9.249249     1.442330     0.885777     83037491.947458
9.264264     1.457205     0.872254     81902563.748674
9.279279     1.475950     0.863234     81186983.356883
9.294294     1.495393     0.859990     81012706.869008
9.309309     1.512755     0.861056     81244208.190545
9.324324     1.527456     0.864214     81673695.344859
9.339339     1.540047     0.868233     82185686.743034
9.354354     1.551189     0.872642     82735792.899772
9.369369     1.561167     0.877689     83347862.606364
9.384384     1.569251     0.883136     83999491.650070
9.399399     1.575519     0.887392     84539363.721896
9.414414     1.581851     0.889571     84882389.475100
9.429429     1.590253     0.890734     85128857.350640
9.444444     1.601522     0.893369     85516721.424517
