#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
8.723724     0.671328     1.620961     143323715.226547
8.738739     0.676375     1.620669     143544544.748276
8.753754     0.684477     1.622746     143975420.125439
8.768769     0.693004     1.630179     144882967.046890
8.783784     0.697716     1.642425     146221302.361597
8.798799     0.696458     1.656207     147700348.440725
8.813814     0.689650     1.668059     149011151.548270
8.828829     0.679655     1.675632     149942654.834467
8.843844     0.669630     1.678770     150478942.196663
8.858859     0.661685     1.679360     150787464.030989
8.873874     0.655936     1.679805     151082976.094330
8.888889     0.651035     1.681730     151512087.639905
8.903904     0.644680     1.685316     152091655.550945
8.918919     0.635337     1.688373     152624440.138980
8.933934     0.624336     1.688683     152909471.979674
8.948949     0.613501     1.686373     152956900.669398
8.963964     0.603353     1.682020     152818107.836190
8.978979     0.594294     1.675628     152492366.663050
8.993994     0.587463     1.667237     151982429.312532
9.009009     0.584380     1.658445     151433348.871337
9.024024     0.584344     1.652228     151117134.596676
9.039039     0.584204     1.649513     151119860.142403
9.054054     0.581810     1.648243     151254357.912349
9.069069     0.577766     1.645952     151294608.353297
9.084084     0.574242     1.642180     151197816.088087
9.099099     0.572306     1.638614     151118825.679850
9.114114     0.570884     1.636659     151187646.474043
9.129129     0.568530     1.636066     151381801.957775
9.144144     0.564703     1.635790     151605201.091558
9.159159     0.559772     1.635007     151781477.712318
9.174174     0.554159     1.633686     151907482.123079
9.189189     0.547608     1.631613     151962970.038309
9.204204     0.540468     1.627718     151847925.398041
9.219219     0.534468     1.621686     151532064.717157
9.234234     0.530966     1.615098     151162189.832549
9.249249     0.529426     1.609991     150929247.531376
9.264264     0.527955     1.607181     150910461.675820
9.279279     0.524883     1.605609     151007191.368874
9.294294     0.520387     1.603662     151068119.793928
9.309309     0.515415     1.601269     151086390.529753
9.324324     0.509489     1.598902     151106369.661676
9.339339     0.501806     1.595370     151015349.660532
9.354354     0.493504     1.588888     150643547.411456
9.369369     0.487094     1.579466     149990632.841240
9.384384     0.484077     1.569249     149259184.151782
9.399399     0.483650     1.560629     148676806.750434
9.414414     0.483483     1.554177     148298645.966883
9.429429     0.482300     1.548030     147947748.363907
9.444444     0.481673     1.540648     147476712.148714
9.459459     0.483569     1.533336     147010070.029558
9.474474     0.487528     1.528541     146782955.452747
